性质,院校名称,专业组,专业号,批次,招生专业,公共课（科目）[分值：100/100],专业基础课（科目）[分值：100],专业综合课（科目）[分值：200],专综类型,学费,教学地点,住宿费,前置要求
民办,广州南方学院,6,13,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,32600,校本部,1900,不限
民办,广州南方学院,7,16,普通批,电气工程及其自动化,政治 / 英语,高等数学,电子技术基础,统考,32600,校本部,1900,不限
民办,广州南方学院,8,22,普通批,汉语国际教育,政治 / 英语,大学语文,汉语言文学学科基础,统考,32600,校本部,1900,不限
民办,广州南方学院,9,21,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,32600,校本部,1900,不限
民办,广州南方学院,10,23,普通批,日语,政治,大学语文,"基础日语、日语阅读",校考,32600,校本部,1900,不限
民办,广州南方学院,11,24,普通批,翻译,政治 / 英语,大学语文,英汉汉英翻译,校考,32600,校本部,1900,不限
民办,广州南方学院,12,25,普通批,行政管理,政治 / 英语,管理学,行政管理学,统考,32600,校本部,1900,不限
民办,广州南方学院,13,26,普通批,人力资源管理,政治 / 英语,管理学,人力资源管理,统考,32600,校本部,1900,不限
民办,广州南方学院,14,29,普通批,医学检验技术,政治 / 英语,生理学,医学检验技术综合,校考,33200,校本部,1900,限招
民办,广州南方学院,15,30,普通批,康复治疗学,政治 / 英语,生理学,康复治疗综合,校考,33200,校本部,1900,限招
民办,广州南方学院,16,32,普通批,公共艺术,政治 / 英语,艺术概论,设计基础,统考,35000,校本部,1900,限招
民办,广州南方学院,17,35,普通批,音乐学,政治 / 英语,艺术概论,"音乐基础理论笔试+专业现场测试",校考,40500,校本部,1900,限招
民办,广州南方学院,18,38,普通批,中药学,政治 / 英语,生理学,中药学,校考,35000,校本部,1900,限招
民办,广州南方学院,19,40,普通批,健康服务与管理,政治 / 英语,管理学,健康服务与管理,校考,33200,校本部,1900,限招
民办,广州南方学院,20,41,普通批,护理学,政治 / 英语,生理学,护理学基础,校考,33200,校本部,1900,限招
民办,广州南方学院,21,12,普通批,计算机科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,32600,校本部,1900,不限
民办,广州南方学院,22,17,普通批,通信工程,政治 / 英语,高等数学,电子技术基础,统考,32600,校本部,1900,不限
民办,广州南方学院,23,15,普通批,电子信息科学与技术,政治 / 英语,高等数学,电子技术基础,统考,32600,校本部,1900,不限
民办,广州南方学院,24,18,普通批,汉语言文学,政治 / 英语,大学语文,汉语言文学学科基础,统考,32600,校本部,1900,不限
民办,广州南方学院,25,19,普通批,新闻学,政治 / 英语,大学语文,汉语言文学学科基础,统考,32600,校本部,1900,不限
民办,广州南方学院,26,39,普通批,中药制药,政治 / 英语,生理学,中药学,校考,35000,校本部,1900,限招
民办,广州南方学院,27,20,普通批,网络与新媒体,政治 / 英语,大学语文,汉语言文学学科基础,统考,32600,校本部,1900,不限
民办,广州南方学院,28,34,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,32600,校本部,1900,限招
民办,广州南方学院,29,32,普通批,艺术设计学,政治 / 英语,艺术概论,设计基础,统考,35000,校本部,1900,限招
民办,广州南方学院,30,33,普通批,数字媒体艺术,政治 / 英语,艺术概论,设计基础,统考,35000,校本部,1900,限招
民办,广州南方学院,31,2,普通批,市场营销,政治 / 英语,管理学,市场营销学,统考,32600,校本部,1900,不限
民办,广州南方学院,31,27,普通批,公共关系学,政治 / 英语,管理学,传播学,统考,32600,校本部,1900,不限
民办,广州南方学院,32,14,普通批,数据科学与大数据技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,32600,校本部,1900,不限
民办,湛江科技学院,1,1,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,2,2,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,32000,新湖校区,2800-3500,不限
民办,湛江科技学院,3,3,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,32000,新湖校区,2800-3500,不限
